OrderID,OrderDate,ProductID,CustomerID,Region,Channel,Quantity,Revenue
O133,2024-08-05,P045,C006,Roraima,Loja Física,6,2662.73
O134,2023-06-27,P051,C422,São Paulo,Loja Física,3,1922.16
O135,2024-02-28,P048,C400,Bahia,Online,1,1741.55
O136,2023-01-08,P028,C140,Distrito Federal,Online,5,3590.38
O137,2023-08-26,P037,C322,Amazonas,Loja Física,8,2602.83
O138,2023-12-25,P004,C256,Mato Grosso,Online,6,870.82
O139,2023-01-22,P050,C053,Mato Grosso,Online,4,3729.82
O140,2023-07-25,P001,C023,Acre,Online,1,2411.65
O141,2023-11-19,P025,C472,Rondônia,Online,1,2809.04
O142,2023-11-12,P059,C366,São Paulo,Loja Física,4,1676.83
O143,2022-12-25,P027,C469,São Paulo,Loja Física,5,4147.39
O144,2023-01-09,P037,C191,Pará,Online,3,1193.61
O145,2023-09-08,P034,C024,Pernambuco,Online,8,4343.56
O146,2024-09-01,P050,C433,Ceará,Loja Física,2,2810.15
O147,2023-07-06,P001,C189,Tocantins,Loja Física,10,3944.09
O148,2023-01-24,P048,C319,Alagoas,Loja Física,6,2999.29
O149,2024-04-09,P032,C396,Paraná,Online,9,3826.36
O150,2024-09-27,P016,C078,Acre,Loja Física,1,1241.69
O151,2024-09-20,P023,C326,Santa Catarina,Online,6,107.16
O152,2023-02-04,P043,C193,São Paulo,Loja Física,2,1105.45
O153,2024-03-17,P016,C215,Sergipe,Online,3,3587.1
O154,2024-03-01,P006,C023,Alagoas,Loja Física,6,2346.44
O155,2023-12-24,P048,C044,Mato Grosso,Online,9,754.22
O156,2023-09-20,P053,C202,Amazonas,Online,7,3345.98
O157,2023-11-20,P009,C122,Ceará,Loja Física,6,4637.61
O158,2024-02-19,P026,C359,Santa Catarina,Loja Física,6,2318.51
O159,2024-01-30,P015,C039,Tocantins,Online,10,633.97
O160,2024-08-02,P007,C085,Rio Grande do Norte,Loja Física,6,2091.91
O161,2024-06-21,P035,C184,Paraná,Online,8,1610.71
O162,2024-10-21,P017,C437,Pará,Online,3,4057.22
O163,2022-12-27,P020,C424,Rio de Janeiro,Online,4,4196.03
O164,2023-11-10,P021,C076,Amazonas,Online,6,2041.6
O165,2024-11-01,P004,C347,Ceará,Loja Física,3,252.3
O166,2024-08-16,P026,C438,Rio Grande do Norte,Online,2,2364.01
O167,2024-02-13,P052,C407,Rondônia,Online,1,402.18
O168,2024-04-15,P050,C114,Rondônia,Online,7,1923.97
O169,2023-04-21,P041,C481,Espírito Santo,Online,10,2971.98
O170,2023-08-02,P059,C417,Amazonas,Online,2,1068.98
O171,2024-03-09,P042,C228,Rio Grande do Sul,Online,2,4534.88
O172,2023-11-30,P054,C415,Maranhão,Online,1,4717.18
O173,2023-12-20,P004,C087,Mato Grosso,Loja Física,7,2531.02
O174,2023-03-23,P025,C350,Piauí,Online,6,1152.11
O175,2023-01-13,P012,C141,Bahia,Loja Física,3,269.78
O176,2023-11-10,P040,C316,Alagoas,Loja Física,8,2118.76
O177,2023-02-14,P036,C246,Amapá,Online,5,1976.77
O178,2024-08-16,P027,C103,Espírito Santo,Online,9,3994.75
O179,2024-10-24,P025,C401,Rio de Janeiro,Loja Física,8,2768.14
O180,2024-09-06,P032,C177,Mato Grosso,Loja Física,7,1425.13
O181,2023-08-19,P002,C164,Mato Grosso do Sul,Online,1,4489.25
O182,2024-06-02,P050,C144,Amapá,Loja Física,9,1851.42
O183,2023-01-30,P038,C120,Roraima,Online,4,3318.64
O184,2023-12-22,P018,C274,Santa Catarina,Online,4,2920.89
O185,2024-04-10,P052,C199,Paraíba,Online,3,1259.1
O186,2023-04-09,P021,C413,São Paulo,Loja Física,10,238.21
O187,2022-12-26,P045,C181,Mato Grosso,Online,10,4747.01
O188,2023-06-06,P054,C415,Sergipe,Loja Física,3,2503.14
O189,2024-05-28,P006,C029,Alagoas,Online,1,2679.6
O190,2023-11-01,P001,C170,Mato Grosso do Sul,Online,3,1769.72
O191,2023-11-02,P012,C471,Rio Grande do Sul,Loja Física,1,207.37
O192,2024-01-07,P038,C361,Rondônia,Online,9,4317.28
O193,2024-01-06,P005,C192,Rio de Janeiro,Loja Física,10,595.06
O194,2024-03-13,P020,C166,Rondônia,Online,7,3980.03
O195,2023-03-29,P032,C333,Maranhão,Online,9,3498.45
O196,2023-09-04,P060,C315,Rio Grande do Sul,Loja Física,4,3361.11
O197,2023-09-11,P053,C090,Pernambuco,Loja Física,5,724.01
O198,2024-11-07,P047,C001,Rio de Janeiro,Loja Física,10,258.68
O199,2023-07-03,P039,C163,Rio Grande do Sul,Online,10,610.14
O200,2023-09-22,P032,C073,Maranhão,Online,4,1799.37
O201,2023-10-09,P021,C086,Espírito Santo,Online,6,2288.49
O202,2024-07-19,P017,C108,Alagoas,Online,6,1357.62
O203,2023-08-15,P007,C369,Acre,Online,7,2247.28
O204,2024-05-06,P027,C497,Roraima,Loja Física,8,4420.68
O205,2024-03-04,P023,C280,Pernambuco,Online,8,3964.78
O206,2023-01-05,P037,C334,Paraná,Online,3,2311.31
O207,2024-07-31,P052,C434,Amapá,Loja Física,1,1661.71
O208,2024-03-30,P007,C038,Maranhão,Online,7,888.43
O209,2024-04-11,P005,C281,Amazonas,Loja Física,10,4927.85
O210,2023-08-12,P058,C248,Rio de Janeiro,Online,7,4717.97
O211,2023-01-16,P011,C311,Piauí,Online,1,596.16
O212,2023-08-09,P014,C499,Tocantins,Loja Física,9,3637.99
O213,2023-02-07,P047,C277,Bahia,Loja Física,5,1263.99
O214,2024-02-02,P004,C202,Mato Grosso,Loja Física,3,367.07
O215,2024-05-05,P001,C219,Amazonas,Loja Física,10,2453.61
O216,2023-09-22,P007,C014,Tocantins,Online,5,4887.58
O217,2023-07-04,P031,C433,Pará,Loja Física,7,2407.63
O218,2023-06-09,P058,C339,Bahia,Online,9,1998.88
O219,2024-06-10,P024,C454,Pernambuco,Loja Física,3,2284.3
O220,2024-09-17,P017,C226,Rio Grande do Norte,Loja Física,4,4201.69
O221,2024-04-18,P037,C032,Rondônia,Online,2,3373.89
O222,2024-10-29,P052,C278,Piauí,Online,9,398.82
O223,2024-03-08,P025,C420,Distrito Federal,Loja Física,9,3466.63
O224,2024-10-04,P060,C244,Mato Grosso,Online,8,1564.38
O225,2023-03-22,P026,C463,Rio de Janeiro,Online,9,2898.98
O226,2023-08-11,P034,C410,Mato Grosso,Online,2,4751.35
O227,2023-01-28,P029,C089,Roraima,Online,4,718.31
O228,2024-02-21,P028,C041,Minas Gerais,Loja Física,4,4986.62
O229,2024-04-24,P041,C076,Santa Catarina,Loja Física,6,4562.94
O230,2023-03-15,P059,C414,Amazonas,Online,7,2826.18
O231,2024-11-07,P036,C167,Bahia,Loja Física,1,3954.1
O232,2023-08-24,P040,C301,Distrito Federal,Loja Física,2,2130.77
O233,2023-07-24,P010,C291,Mato Grosso,Online,2,2857.15
O234,2024-04-18,P007,C403,Ceará,Loja Física,7,1394.27
O235,2024-05-21,P042,C249,Mato Grosso,Loja Física,1,943.78
O236,2024-04-23,P026,C074,Mato Grosso do Sul,Loja Física,1,2039.38
O237,2023-09-26,P057,C170,Rio de Janeiro,Online,1,3754.17
O238,2023-03-06,P059,C138,Paraíba,Online,6,4105.19
O239,2024-03-02,P020,C160,Bahia,Loja Física,2,4865.23
O240,2024-05-29,P015,C069,Ceará,Loja Física,6,1420.16
O241,2024-11-23,P027,C310,Espírito Santo,Online,4,2264.41
O242,2023-01-30,P059,C422,Piauí,Loja Física,9,4349.23
O243,2023-07-24,P053,C029,Distrito Federal,Online,2,1624.5
O244,2024-02-03,P033,C207,Rondônia,Online,3,1044.54
O245,2023-09-14,P054,C103,Santa Catarina,Online,4,262.05
O246,2024-04-08,P004,C471,Paraíba,Online,5,1904.92
O247,2024-08-01,P030,C259,Pernambuco,Online,1,1285.5
O248,2023-08-08,P032,C305,Rio Grande do Norte,Online,8,2975.71
O249,2024-08-18,P023,C177,Roraima,Loja Física,2,1496.84
O250,2023-03-05,P025,C026,Roraima,Online,4,3272.16
O251,2024-04-29,P044,C106,Bahia,Loja Física,9,198.26
O252,2024-05-24,P050,C496,Paraná,Online,8,4566.43
O253,2024-08-30,P042,C089,Mato Grosso do Sul,Online,4,1336.71
O254,2024-06-21,P052,C483,Ceará,Loja Física,7,4487.87
O255,2024-05-11,P055,C179,Rio Grande do Norte,Loja Física,4,2386.82
O256,2024-11-03,P044,C267,Santa Catarina,Loja Física,10,601.33
O257,2024-01-08,P033,C340,Santa Catarina,Loja Física,9,3271.98
O258,2023-02-06,P039,C145,Ceará,Online,8,412.8
O259,2024-04-10,P018,C328,Maranhão,Loja Física,5,3314.99
O260,2024-04-29,P058,C334,Ceará,Online,3,2634.74
O261,2023-10-20,P016,C461,Amapá,Loja Física,6,3435.7
O262,2023-12-25,P047,C014,Espírito Santo,Loja Física,5,1371.19
O263,2023-09-03,P027,C208,Pernambuco,Online,10,3569.54
O264,2022-12-10,P037,C418,Tocantins,Loja Física,4,3462.96
O265,2023-09-03,P041,C402,Sergipe,Loja Física,9,1570.95
O266,2023-07-23,P011,C431,Minas Gerais,Online,5,578.26
O267,2023-04-15,P009,C380,Bahia,Online,6,3306.73
O268,2023-05-11,P015,C182,Alagoas,Loja Física,7,3961.64
O269,2023-08-18,P022,C191,Bahia,Loja Física,8,4270.95
O270,2024-07-13,P031,C028,Espírito Santo,Online,8,4458.19
O271,2023-12-08,P033,C062,Minas Gerais,Loja Física,9,1561.94
O272,2023-04-24,P004,C446,Rondônia,Online,4,1779.08
O273,2023-05-20,P037,C458,Rio Grande do Norte,Online,6,4325.73
O274,2023-03-12,P012,C399,Amazonas,Loja Física,6,3192.06
O275,2023-03-26,P012,C161,Espírito Santo,Online,1,2315.06
O276,2023-01-24,P014,C390,Paraná,Online,10,3845.97
O277,2023-07-13,P032,C403,Paraná,Online,3,3110.95
O278,2024-09-11,P041,C220,Pernambuco,Loja Física,8,1978.25
O279,2024-07-30,P003,C274,Tocantins,Loja Física,1,4470.83
O280,2023-02-12,P049,C427,Distrito Federal,Online,1,3416.07
O281,2023-12-25,P041,C376,Alagoas,Online,6,1629.25
O282,2024-07-16,P007,C197,Distrito Federal,Loja Física,3,419.91
O283,2024-01-19,P003,C153,Ceará,Loja Física,9,3022.21
O284,2024-09-04,P022,C223,Minas Gerais,Online,6,4981.08
O285,2024-06-21,P032,C184,Paraná,Online,3,4745.61
O286,2024-10-12,P059,C416,Pernambuco,Online,4,1199.17
O287,2024-01-08,P009,C109,São Paulo,Online,10,2572.7
O288,2022-12-25,P008,C188,Rio de Janeiro,Online,7,4395.07
O289,2024-04-23,P017,C395,Goiás,Online,10,4973.93
O290,2023-08-14,P043,C056,Espírito Santo,Online,1,3479.77
O291,2024-10-06,P027,C228,Pernambuco,Online,9,1338.42
O292,2024-07-13,P045,C079,Tocantins,Online,5,2162.27
O293,2024-03-20,P007,C340,Distrito Federal,Loja Física,10,3067.61
O294,2023-03-07,P009,C215,Santa Catarina,Online,9,3621.95
O295,2024-03-03,P008,C145,Pará,Online,8,1073.37
O296,2023-09-14,P013,C399,Bahia,Online,6,3546.84
O297,2023-03-25,P019,C083,Amapá,Loja Física,4,3472.2
O298,2023-04-01,P031,C170,Alagoas,Online,1,3391.0
O299,2023-04-15,P059,C057,Santa Catarina,Loja Física,3,4752.29
O300,2024-09-01,P050,C262,Amazonas,Online,5,3257.25
O301,2024-05-17,P030,C152,Bahia,Loja Física,1,589.06
O302,2024-07-16,P012,C448,Amapá,Loja Física,6,4027.82
O303,2024-03-25,P021,C219,São Paulo,Online,2,4271.1
O304,2024-08-15,P057,C024,Acre,Online,3,1710.44
O305,2024-10-27,P058,C225,Mato Grosso do Sul,Loja Física,2,1925.85
O306,2023-04-03,P022,C094,Pará,Loja Física,7,4815.32
O307,2024-06-08,P018,C428,Pernambuco,Loja Física,7,3279.35
O308,2023-10-31,P052,C086,Pará,Online,1,4909.69
O309,2022-12-29,P055,C082,Pará,Loja Física,10,2465.11
O310,2023-10-11,P037,C348,Rio Grande do Norte,Online,10,1960.78
O311,2023-09-04,P023,C314,Acre,Online,8,4609.95
O312,2024-05-04,P008,C455,Piauí,Loja Física,1,410.35
O313,2024-06-06,P042,C161,Acre,Online,6,2643.59
O314,2023-05-29,P045,C359,Mato Grosso do Sul,Online,7,3342.39
O315,2023-11-06,P016,C247,Paraíba,Loja Física,3,4211.26
O316,2024-03-14,P036,C457,Mato Grosso do Sul,Online,1,3252.65
O317,2023-07-05,P011,C259,Sergipe,Loja Física,3,466.84
O318,2024-07-02,P032,C165,Alagoas,Loja Física,5,346.72
O319,2024-06-29,P015,C282,Espírito Santo,Loja Física,7,4103.81
O320,2024-07-26,P006,C236,Rio Grande do Norte,Loja Física,2,4297.29
O321,2023-11-09,P029,C162,Pará,Loja Física,1,602.95
O322,2023-05-26,P027,C019,Goiás,Online,2,3979.74
O323,2024-01-14,P040,C327,Ceará,Online,8,4756.74
O324,2023-05-30,P024,C423,Amapá,Online,8,1726.67
O325,2023-07-24,P050,C318,Mato Grosso do Sul,Loja Física,6,3607.98
O326,2024-08-15,P008,C050,Paraná,Online,1,1772.65
O327,2024-07-27,P054,C325,Rio Grande do Sul,Loja Física,9,2657.73
O328,2023-11-25,P045,C055,Amapá,Online,8,788.2
O329,2024-10-28,P046,C381,São Paulo,Loja Física,2,1346.02
O330,2024-09-04,P013,C097,Pará,Loja Física,4,2339.53
O331,2023-04-25,P051,C098,Rio de Janeiro,Loja Física,2,3810.03
O332,2023-09-07,P003,C475,Espírito Santo,Online,8,2341.2
O333,2024-05-05,P038,C490,Distrito Federal,Online,8,121.25
O334,2024-02-12,P048,C025,Goiás,Loja Física,10,2466.37
O335,2023-11-03,P033,C400,Roraima,Online,3,607.41
O336,2023-11-19,P043,C308,Mato Grosso do Sul,Loja Física,9,4418.81
O337,2024-07-15,P027,C312,Rio de Janeiro,Online,5,2049.56
O338,2023-07-02,P022,C497,Ceará,Loja Física,3,777.08
O339,2024-07-22,P039,C359,São Paulo,Loja Física,9,4317.47
O340,2023-09-18,P046,C378,Goiás,Online,4,1127.59
O341,2023-12-21,P046,C149,Minas Gerais,Loja Física,3,4908.54
O342,2024-01-09,P042,C491,Roraima,Loja Física,2,3827.8
O343,2023-10-17,P036,C246,Mato Grosso,Loja Física,9,1501.05
O344,2023-03-31,P055,C217,Rio Grande do Sul,Online,9,621.71
O345,2024-08-21,P025,C075,Amapá,Online,4,1408.19
O346,2023-04-30,P051,C083,Ceará,Loja Física,3,4212.97
O347,2024-08-09,P045,C402,Ceará,Online,9,258.3
O348,2024-03-09,P053,C232,Pará,Online,9,2005.54
O349,2023-03-13,P033,C402,Rio Grande do Sul,Loja Física,1,4639.78
O350,2024-10-04,P025,C214,Rio Grande do Sul,Loja Física,9,363.63
O351,2023-06-08,P048,C129,Tocantins,Loja Física,4,4566.28
O352,2023-01-05,P046,C364,Espírito Santo,Loja Física,10,2778.41
O353,2024-04-07,P039,C101,Paraná,Online,5,2299.19
O354,2023-12-04,P044,C039,Roraima,Online,9,684.83
O355,2024-10-04,P003,C220,Bahia,Loja Física,3,888.55
O356,2023-09-10,P055,C131,Acre,Loja Física,8,3577.48
O357,2024-01-30,P010,C021,Rondônia,Loja Física,10,349.19
O358,2024-11-20,P060,C321,Mato Grosso do Sul,Loja Física,8,3970.55
O359,2023-02-13,P036,C184,Amazonas,Loja Física,9,1177.81
O360,2024-05-31,P012,C267,Amazonas,Online,7,2761.09
O361,2024-09-13,P026,C048,Paraíba,Online,4,3350.34
O362,2023-12-31,P022,C185,Ceará,Online,10,2699.44
O363,2024-09-17,P036,C422,Paraná,Online,2,3377.8
O364,2023-03-02,P029,C124,Espírito Santo,Online,1,3444.5
O365,2023-07-05,P021,C196,Rio Grande do Sul,Online,7,1357.29
O366,2023-01-30,P047,C145,Acre,Loja Física,9,4033.8
O367,2024-07-10,P029,C250,Amapá,Loja Física,4,1669.53
O368,2023-03-30,P006,C486,Pará,Online,9,2712.71
O369,2023-06-25,P041,C034,Tocantins,Online,7,4194.76
O370,2023-11-09,P014,C276,Santa Catarina,Loja Física,2,3759.77
O371,2024-10-29,P010,C013,Rio Grande do Norte,Loja Física,1,528.85
O372,2023-12-29,P004,C092,Rio Grande do Sul,Loja Física,9,445.17
O373,2023-03-20,P053,C117,Bahia,Loja Física,7,2310.52
O374,2024-09-01,P026,C222,Maranhão,Online,7,3399.16
O375,2023-10-31,P035,C004,Espírito Santo,Online,10,323.03
O376,2023-02-05,P055,C038,Paraíba,Online,5,3955.77
O377,2024-11-02,P020,C311,Amazonas,Loja Física,8,1968.93
O378,2023-05-17,P053,C339,Acre,Loja Física,3,2713.99
O379,2024-08-21,P009,C383,Pernambuco,Loja Física,3,1560.48
O380,2023-11-11,P057,C469,Rio Grande do Sul,Loja Física,1,2812.27
O381,2024-10-13,P036,C073,Pará,Online,1,2906.32
O382,2023-08-24,P026,C276,Goiás,Online,5,1129.26
O383,2024-11-17,P048,C463,São Paulo,Loja Física,4,2122.01
O384,2022-12-16,P042,C436,Distrito Federal,Online,3,1001.56
O385,2023-10-14,P040,C428,Bahia,Online,2,988.65
O386,2023-01-06,P052,C291,Amapá,Loja Física,9,458.41
O387,2023-09-29,P043,C035,Bahia,Online,4,3655.39
O388,2023-12-20,P032,C488,Maranhão,Loja Física,3,3389.35
O389,2023-09-12,P016,C052,Ceará,Online,4,1657.15
O390,2023-05-28,P029,C169,Mato Grosso do Sul,Loja Física,10,846.74
O391,2023-09-21,P037,C187,Rio Grande do Sul,Loja Física,7,926.33
O392,2023-01-28,P021,C127,Rio Grande do Sul,Online,7,1455.73
O393,2023-09-13,P024,C069,Minas Gerais,Loja Física,8,2367.96
O394,2023-05-19,P023,C397,Ceará,Loja Física,9,633.28
O395,2022-12-17,P042,C311,Amazonas,Loja Física,3,4467.36
O396,2023-07-31,P013,C135,São Paulo,Online,2,4471.32
O397,2024-11-17,P055,C260,Espírito Santo,Online,10,2936.61
O398,2023-02-10,P050,C303,Tocantins,Online,9,1377.02
O399,2024-09-07,P058,C277,Sergipe,Online,6,2023.24
O400,2024-06-03,P058,C396,Mato Grosso,Loja Física,3,2377.04
O401,2024-04-13,P033,C047,Pernambuco,Loja Física,9,151.9
O402,2023-08-13,P016,C435,Rio Grande do Sul,Online,9,787.82
O403,2024-08-01,P011,C092,Mato Grosso,Online,8,4701.96
O404,2023-03-19,P003,C113,Paraná,Loja Física,4,408.02
O405,2023-03-12,P024,C120,Amapá,Online,9,4547.86
O406,2022-12-25,P024,C199,Sergipe,Loja Física,1,295.53
O407,2023-07-06,P042,C166,Pará,Loja Física,5,2935.29
O408,2024-11-07,P037,C090,Pernambuco,Loja Física,6,2979.63
O409,2024-08-31,P058,C428,Amazonas,Loja Física,7,4866.1
