ProdutoID,Produto,Categoria,PrecoUnitario,Custo,QtdEstoque
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,Joystick para PC,Games,3193.14,1611.74,125
7412b293-4729-4739-a14f-f3d719db3ad0,Controle Xbox,Games,858.84,1150.78,473
29a3b2e9-5d65-4441-9588-42dea2bc372f,Controle DualSense,Games,3218.0,1679.71,350
ab9099a4-35a2-40ae-9af3-05535ec42e08,Headset para Xbox,Games,1655.2,2309.57,28
aefcfad8-efc8-4849-b3aa-7efe4458a885,Volante para Simulação,Games,1183.79,115.66,161
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,Cadeira Gamer RGB,Games,2035.77,217.24,467
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,Teclado para Consoles,Games,4717.4,2631.58,161
451b4cf3-6123-4df7-b656-af7229d4beef,Dock para Switch,Games,1102.5,1507.71,452
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,TV 4K,Eletro-Eletrônicos,4577.01,1387.38,135
5304317f-af42-412f-b838-b3268e944239,Home Theater,Eletro-Eletrônicos,741.17,2240.07,275
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Soundbar,Eletro-Eletrônicos,1350.57,1762.07,459
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Receptor de TV,Eletro-Eletrônicos,2938.49,1098.75,70
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,Rádio Portátil,Eletro-Eletrônicos,2572.16,290.91,24
9132b63e-f162-47e4-a9c3-49e03602f8ac,Caixa de Som Bluetooth,Eletro-Eletrônicos,4312.46,475.47,81
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,Smart TV,Eletro-Eletrônicos,3970.79,1278.04,32
e27a984d-6548-41d0-bfcd-9eb1a7cad415,Controle Remoto Universal,Eletro-Eletrônicos,1954.6,1795.75,239
24933b83-7577-40a9-a491-f0b2ea1fca65,Antena Digital,Eletro-Eletrônicos,2669.12,2913.81,440
beb79919-3f22-4af8-a3be-d01d43cf2fde,Carregador Universal,Eletro-Eletrônicos,4715.03,2047.24,58
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,iPhone 14,Celulares,3424.47,1620.17,136
956269f0-e5d7-4875-adad-d6c795a76d79,Samsung Galaxy S23,Celulares,3854.56,1033.72,150
ff50bde4-3825-47b8-9cab-cc97663f1c97,Moto G Power,Celulares,2202.09,1372.1,488
7e570ddf-8270-40a8-a369-b584ff5e9ff0,Xiaomi Redmi Note 12,Celulares,3624.36,2164.65,497
dc713d96-0c0f-4195-817a-f08a1745d6d8,Realme Narzo,Celulares,2527.9,552.38,467
28f49481-a0a0-4dc4-a720-9bdf1c11f735,OnePlus Nord,Celulares,576.73,1883.39,430
98ae4334-6c12-4ce8-ae34-0454cac5b68c,Fone Bluetooth,Celulares,3212.8,1834.73,78
988c24c9-61b1-4d22-a280-1c4510435a10,Carregador Wireless,Celulares,1900.87,501.42,488
405cacec-8774-49a9-b7d2-1e02ff01cf99,Capa Protetora,Celulares,3904.2,1600.45,0
f143262f-dc5c-4eed-8da0-365bf89897b9,Película de Vidro,Celulares,3014.78,1476.05,57
1d53434b-b881-49b9-ae27-0da702f06b90,Geladeira Frost Free,Eletro-Domésticos,4649.04,2638.59,425
c0398710-8976-4334-a281-7efdae849217,Máquina de Lavar,Eletro-Domésticos,4043.54,733.57,123
5715bd6f-a416-4293-84c2-e2e3444ea7c8,Forno Microondas,Eletro-Domésticos,4396.15,2841.91,43
287d06ca-6f4c-469a-8b22-d3081c8eaee9,Fogão 4 Bocas,Eletro-Domésticos,3672.94,2451.75,500
b8db0672-f42d-47cc-80d4-af5974273ca3,Aspirador de Pó,Eletro-Domésticos,3814.98,2302.19,65
f8cda88b-436d-46e2-b83c-fe0be037e5ed,Liquidificador,Eletro-Domésticos,3315.77,2841.61,84
81f76d1c-2dbc-4134-830f-f46e8026695f,Airfryer,Eletro-Domésticos,1362.03,2619.85,216
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,Cafeteira,Eletro-Domésticos,4823.6,2788.16,386
81f631d4-a392-41a7-9777-a4774c66e0a8,Ventilador,Eletro-Domésticos,3663.16,619.43,159
5fb8d16c-2720-497d-b2eb-d6899be578c7,Purificador de Água,Eletro-Domésticos,2025.01,2021.63,191
