VendaID,DataVenda,ProdutoID,ClienteID,Região,Canal,Quantidade,Receita
V120,2024-05-15,P011,C311,Mato Grosso do Sul,Online,3,4827.13
V121,2024-02-03,P007,C297,Acre,Loja Física,10,3419.0
V122,2023-05-17,P025,C204,Rio de Janeiro,Online,2,3001.28
V123,2024-05-12,P054,C322,Alagoas,Online,5,4266.44
V124,2023-08-06,P039,C413,Pará,Online,6,2710.45
V125,2024-09-12,P043,C190,Amazonas,Loja Física,1,4262.92
V126,2024-07-16,P053,C251,Pará,Loja Física,6,3214.37
V127,2024-07-22,P054,C236,Rio de Janeiro,Online,7,963.07
V128,2023-01-10,P034,C495,Espírito Santo,Loja Física,10,4060.18
V129,2023-05-24,P035,C397,Sergipe,Loja Física,7,4146.1
V130,2024-08-27,P038,C138,Maranhão,Online,2,1466.75
V131,2022-12-22,P029,C125,Paraná,Loja Física,10,3090.63
V132,2024-08-14,P025,C173,Acre,Loja Física,6,991.02
V133,2023-07-31,P014,C182,Rio Grande do Sul,Loja Física,6,1470.33
V134,2023-10-05,P039,C360,Bahia,Online,9,4745.51
V135,2023-06-23,P006,C124,São Paulo,Loja Física,8,2820.36
V136,2023-01-18,P016,C354,Sergipe,Loja Física,8,3985.37
V137,2023-05-10,P006,C151,Alagoas,Loja Física,4,1600.41
V138,2024-11-06,P038,C189,Sergipe,Loja Física,7,4983.49
V139,2024-02-11,P036,C170,Paraíba,Loja Física,5,1602.45
V140,2024-10-08,P015,C062,São Paulo,Online,6,685.82
V141,2024-06-07,P035,C487,Paraná,Online,4,1160.28
V142,2023-07-30,P031,C142,São Paulo,Loja Física,2,4179.88
V143,2023-05-12,P019,C117,Paraíba,Online,5,169.33
V144,2024-04-20,P035,C065,Bahia,Online,1,2811.46
V145,2023-12-20,P045,C484,Rondônia,Loja Física,2,4376.33
V146,2023-10-01,P037,C146,Sergipe,Loja Física,8,1769.46
V147,2024-10-15,P004,C130,Sergipe,Online,2,2063.47
V148,2024-11-07,P005,C296,Espírito Santo,Online,3,831.07
V149,2024-04-10,P037,C486,Ceará,Online,4,680.41
V150,2023-11-19,P049,C214,Mato Grosso do Sul,Online,9,1963.85
V151,2023-03-18,P059,C227,Ceará,Loja Física,5,2886.28
V152,2023-06-21,P004,C313,São Paulo,Online,4,3165.02
V153,2023-03-16,P017,C339,Amazonas,Online,4,951.69
V154,2023-06-07,P005,C081,Acre,Loja Física,8,3477.92
V155,2024-06-28,P031,C150,Amapá,Online,5,3564.08
V156,2024-02-07,P045,C441,Rio Grande do Norte,Online,4,4627.16
V157,2024-01-20,P051,C406,Espírito Santo,Online,7,662.4
V158,2023-06-20,P015,C332,Rondônia,Loja Física,3,449.91
V159,2024-06-30,P011,C406,Ceará,Loja Física,8,709.33
V160,2024-02-25,P045,C156,Rio de Janeiro,Loja Física,5,2552.31
V161,2023-10-26,P032,C225,Amazonas,Online,7,3699.22
V162,2024-10-25,P039,C129,Acre,Online,4,4813.36
V163,2024-02-24,P054,C441,Mato Grosso,Online,5,2923.61
V164,2023-10-04,P049,C388,Roraima,Loja Física,9,3292.4
V165,2023-09-05,P059,C143,Roraima,Loja Física,8,4848.37
V166,2023-05-17,P031,C179,Piauí,Loja Física,6,3383.65
V167,2023-03-15,P055,C083,Maranhão,Loja Física,8,1512.27
V168,2023-12-28,P026,C417,Paraná,Online,8,531.49
V169,2023-12-16,P017,C166,Pará,Loja Física,9,4142.14
V170,2023-02-06,P001,C337,Goiás,Loja Física,7,365.6
V171,2024-07-07,P034,C186,Mato Grosso do Sul,Loja Física,8,3823.95
V172,2023-01-03,P014,C137,Goiás,Online,5,2246.77
V173,2024-09-26,P045,C249,Pará,Online,10,4016.64
V174,2023-02-21,P046,C082,Ceará,Online,9,2099.15
V175,2023-03-26,P015,C431,Pará,Loja Física,2,3273.78
V176,2024-03-29,P010,C256,Rio de Janeiro,Loja Física,9,3556.52
V177,2023-04-01,P027,C428,Sergipe,Loja Física,4,2338.25
V178,2024-08-04,P010,C197,Tocantins,Online,2,1453.61
V179,2024-05-09,P051,C438,Piauí,Loja Física,9,1409.15
V180,2023-10-21,P001,C145,São Paulo,Loja Física,10,2941.62
V181,2024-03-05,P043,C251,Rondônia,Loja Física,9,2473.27
V182,2023-01-16,P022,C283,Paraná,Loja Física,8,4670.98
V183,2023-09-22,P056,C097,Rio de Janeiro,Online,10,1976.56
V184,2023-09-20,P055,C398,Piauí,Online,6,3749.06
V185,2024-03-04,P046,C468,Rio Grande do Sul,Loja Física,7,4943.23
V186,2023-11-26,P051,C421,Espírito Santo,Online,8,4827.64
V187,2024-01-12,P009,C258,Mato Grosso,Loja Física,2,4383.53
V188,2023-06-11,P029,C052,Distrito Federal,Loja Física,1,3639.97
V189,2024-01-31,P027,C446,Espírito Santo,Online,2,2400.5
V190,2024-09-26,P017,C174,Mato Grosso do Sul,Loja Física,2,4273.65
V191,2022-12-06,P055,C346,Goiás,Loja Física,6,3171.32
V192,2024-05-09,P057,C389,Sergipe,Online,10,435.26
V193,2024-06-09,P041,C351,Ceará,Online,2,2226.46
V194,2023-02-24,P007,C390,Espírito Santo,Online,8,915.19
V195,2024-05-10,P020,C463,Acre,Online,6,4001.1
V196,2024-10-15,P019,C184,Paraíba,Loja Física,3,1296.57
V197,2024-01-19,P027,C290,Minas Gerais,Online,3,957.84
V198,2024-07-03,P040,C446,Pernambuco,Online,8,4572.86
V199,2023-06-23,P010,C119,Rio Grande do Norte,Loja Física,8,1351.1
V200,2024-07-16,P001,C461,Rio Grande do Sul,Loja Física,5,3420.29
V201,2024-04-08,P011,C038,Rio Grande do Norte,Loja Física,10,1565.86
V202,2023-08-19,P028,C354,Bahia,Loja Física,5,1076.16
V203,2023-02-22,P025,C437,Sergipe,Online,4,1968.69
V204,2023-07-13,P023,C295,Ceará,Loja Física,1,4891.93
V205,2023-10-31,P043,C203,Bahia,Online,10,4338.83
V206,2023-03-30,P050,C382,Amapá,Loja Física,5,3901.13
V207,2023-11-15,P015,C311,Rio Grande do Sul,Loja Física,4,3219.43
V208,2022-11-30,P040,C129,Minas Gerais,Online,2,4526.68
V209,2024-06-10,P042,C021,Ceará,Loja Física,1,2939.91
V210,2024-10-08,P047,C068,Amazonas,Loja Física,6,3762.66
V211,2024-06-08,P012,C103,Rondônia,Loja Física,9,2558.79
V212,2023-06-20,P018,C426,Roraima,Loja Física,8,4840.18
V213,2023-12-21,P019,C383,Maranhão,Online,8,4818.18
V214,2024-07-11,P010,C387,Alagoas,Loja Física,9,1892.3
V215,2023-04-15,P051,C203,Acre,Loja Física,9,705.58
V216,2023-12-27,P024,C345,São Paulo,Loja Física,10,1967.02
V217,2024-11-05,P041,C482,Paraíba,Online,4,2410.24
V218,2023-02-18,P040,C453,Goiás,Loja Física,10,1184.7
V219,2024-10-04,P005,C326,Santa Catarina,Loja Física,5,3281.27
V220,2024-03-27,P008,C072,Amapá,Online,5,4980.04
V221,2023-07-17,P008,C050,Alagoas,Online,7,2322.85
V222,2024-09-11,P043,C487,São Paulo,Loja Física,10,3737.12
V223,2024-04-07,P010,C454,Piauí,Online,8,3116.7
V224,2023-12-27,P018,C017,Rio de Janeiro,Loja Física,4,2272.58
V225,2024-03-15,P016,C438,Paraíba,Online,6,2767.88
V226,2023-05-01,P042,C184,Amapá,Loja Física,5,1030.06
V227,2023-03-26,P008,C486,Santa Catarina,Loja Física,2,3347.57
V228,2023-09-14,P042,C328,Mato Grosso do Sul,Online,1,3955.29
V229,2024-07-12,P016,C065,Rio Grande do Sul,Online,2,4166.11
V230,2023-04-02,P036,C107,Mato Grosso,Online,4,1709.94
V231,2024-01-20,P010,C404,Mato Grosso do Sul,Online,5,4306.19
V232,2024-07-24,P010,C067,Goiás,Loja Física,3,638.64
V233,2024-11-13,P056,C014,Rondônia,Online,6,3970.92
V234,2024-01-13,P016,C302,Maranhão,Online,3,1400.3
V235,2024-11-10,P009,C380,Piauí,Online,2,2433.61
V236,2022-11-28,P050,C186,Distrito Federal,Online,8,2568.81
V237,2024-03-07,P040,C023,São Paulo,Loja Física,8,3252.37
V238,2023-08-06,P002,C032,Sergipe,Loja Física,7,3461.88
V239,2023-12-12,P032,C365,Rio Grande do Norte,Online,2,1678.35
V240,2022-12-13,P010,C034,Rondônia,Loja Física,10,3202.08
V241,2023-02-22,P036,C365,Maranhão,Loja Física,10,2699.73
V242,2024-11-18,P030,C259,Mato Grosso do Sul,Loja Física,2,3986.17
V243,2023-09-05,P008,C437,Espírito Santo,Online,7,2312.62
V244,2024-10-10,P015,C212,Maranhão,Loja Física,7,2138.35
V245,2024-09-03,P007,C161,Piauí,Loja Física,5,1934.08
V246,2024-08-15,P010,C352,Sergipe,Online,2,4175.68
V247,2023-07-24,P006,C222,Pará,Loja Física,3,2826.22
V248,2023-06-01,P038,C490,Goiás,Loja Física,2,2112.96
V249,2023-01-11,P056,C341,Paraná,Loja Física,1,4845.15
V250,2023-06-03,P039,C160,Paraíba,Online,10,2586.32
V251,2024-10-09,P010,C337,Sergipe,Online,2,1815.56
V252,2024-02-11,P036,C189,Pará,Loja Física,10,1208.18
V253,2023-01-28,P028,C433,Goiás,Online,10,4652.51
V254,2023-02-02,P054,C356,Bahia,Online,3,1439.02
V255,2024-06-18,P049,C159,Maranhão,Loja Física,1,988.89
V256,2023-12-10,P010,C290,Minas Gerais,Loja Física,2,795.19
V257,2024-08-22,P041,C498,Acre,Online,9,1154.15
V258,2023-01-20,P027,C233,Maranhão,Online,6,1627.02
V259,2024-07-10,P021,C398,Mato Grosso,Online,1,862.34
V260,2024-01-15,P049,C317,Amapá,Online,5,2271.25
V261,2024-07-14,P028,C249,Mato Grosso do Sul,Loja Física,7,1438.52
V262,2023-03-05,P049,C263,Pará,Loja Física,7,643.36
V263,2023-03-07,P044,C348,Mato Grosso,Loja Física,9,3368.95
V264,2024-04-23,P003,C113,Pernambuco,Online,1,1101.67
V265,2023-12-02,P014,C393,Rondônia,Loja Física,5,1707.8
V266,2024-01-29,P001,C255,São Paulo,Loja Física,3,733.01
V267,2023-04-05,P035,C361,Alagoas,Loja Física,2,2045.65
V268,2023-06-21,P048,C022,Piauí,Online,8,4613.7
V269,2024-01-11,P056,C161,Mato Grosso,Loja Física,10,2081.67
V270,2024-10-05,P041,C214,Ceará,Online,7,202.2
V271,2024-03-13,P021,C088,Rio Grande do Sul,Loja Física,6,531.84
V272,2023-10-22,P055,C055,Alagoas,Loja Física,10,2062.2
V273,2023-05-11,P006,C203,Ceará,Loja Física,4,1732.04
V274,2024-11-18,P011,C040,Distrito Federal,Online,9,2598.77
V275,2024-01-20,P058,C398,Paraíba,Loja Física,3,1257.72
V276,2024-07-06,P010,C132,Tocantins,Online,10,849.06
V277,2024-06-16,P049,C336,Amazonas,Online,8,2373.37
V278,2024-05-16,P037,C390,Mato Grosso,Loja Física,10,3250.66
V279,2023-05-03,P040,C166,Espírito Santo,Loja Física,3,2254.84
V280,2024-06-03,P031,C227,Espírito Santo,Loja Física,5,2997.96
V281,2023-07-28,P023,C260,Amazonas,Loja Física,8,2314.38
V282,2023-10-03,P004,C189,Santa Catarina,Loja Física,2,3258.87
V283,2024-05-02,P055,C047,Mato Grosso do Sul,Loja Física,8,2943.61
V284,2024-04-15,P051,C379,Amapá,Loja Física,10,3294.0
V285,2023-09-14,P021,C310,Sergipe,Online,1,2307.56
V286,2023-11-03,P052,C461,Santa Catarina,Loja Física,2,2572.29
V287,2024-10-26,P012,C021,Alagoas,Loja Física,8,2667.94
V288,2024-01-04,P040,C082,Paraíba,Loja Física,5,1998.34
V289,2023-11-13,P050,C174,Minas Gerais,Online,6,422.97
V290,2023-03-01,P007,C286,Minas Gerais,Loja Física,5,1334.78
V291,2023-06-08,P055,C337,Mato Grosso do Sul,Online,6,499.36
V292,2023-05-21,P043,C073,Paraíba,Loja Física,7,731.86
V293,2023-01-16,P046,C481,Amazonas,Loja Física,9,1945.73
V294,2023-08-17,P051,C169,Santa Catarina,Online,9,557.92
V295,2022-12-14,P043,C217,Distrito Federal,Loja Física,1,1876.73
V296,2024-02-27,P012,C487,Tocantins,Loja Física,8,1040.83
V297,2024-02-01,P009,C080,Amazonas,Loja Física,2,2587.68
V298,2023-05-25,P035,C428,São Paulo,Online,6,4394.32
V299,2024-02-28,P040,C068,Mato Grosso do Sul,Loja Física,3,895.01
V300,2023-05-18,P054,C355,Paraná,Online,8,314.09
V301,2022-12-03,P024,C347,São Paulo,Online,8,3091.92
V302,2023-01-22,P049,C384,Rio Grande do Sul,Loja Física,4,2716.65
V303,2024-05-30,P020,C495,Rio Grande do Sul,Loja Física,4,1902.42
V304,2024-04-01,P037,C226,Rio Grande do Norte,Loja Física,7,2564.24
V305,2023-01-12,P027,C495,Roraima,Online,10,778.15
V306,2023-05-24,P017,C027,Espírito Santo,Loja Física,6,2817.25
V307,2023-01-19,P007,C365,Distrito Federal,Online,5,510.99
V308,2024-10-31,P011,C140,Rio Grande do Norte,Online,7,549.4
V309,2022-12-22,P059,C114,Santa Catarina,Loja Física,6,4659.31
V310,2024-09-25,P027,C028,Pernambuco,Loja Física,4,1992.21
V311,2023-08-11,P006,C192,Alagoas,Online,6,4661.05
V312,2023-01-22,P054,C366,Espírito Santo,Loja Física,3,774.24
V313,2024-01-01,P019,C470,Santa Catarina,Loja Física,3,3818.32
V314,2023-05-31,P031,C230,Mato Grosso do Sul,Online,2,193.12
V315,2023-07-02,P014,C428,Rondônia,Loja Física,2,3903.25
V316,2024-04-30,P016,C155,Pará,Online,4,2157.15
V317,2023-12-10,P051,C319,Rio Grande do Norte,Online,2,4199.77
V318,2023-05-13,P032,C306,Goiás,Online,9,2917.73
V319,2024-01-20,P046,C074,Ceará,Loja Física,1,3112.57
V320,2023-03-10,P016,C293,Piauí,Online,2,2665.07
V321,2024-06-11,P024,C035,Distrito Federal,Online,7,4379.32
V322,2024-11-23,P003,C326,Pernambuco,Loja Física,5,3761.85
V323,2024-10-13,P023,C404,Amazonas,Loja Física,4,3691.41
V324,2024-02-14,P041,C054,Paraná,Loja Física,3,317.24
V325,2024-02-18,P035,C174,Santa Catarina,Online,8,4906.01
V326,2023-11-30,P031,C324,Roraima,Online,2,3608.62
V327,2023-06-04,P030,C019,Ceará,Online,1,3976.44
V328,2024-07-29,P057,C022,Maranhão,Loja Física,9,2051.3
V329,2023-11-30,P053,C279,Sergipe,Loja Física,1,3791.13
V330,2024-08-16,P013,C147,Paraíba,Online,6,1438.76
V331,2023-10-10,P052,C189,Piauí,Loja Física,8,4483.72
V332,2023-04-24,P025,C174,Roraima,Loja Física,8,1900.0
V333,2023-02-09,P052,C266,Bahia,Online,7,486.74
V334,2023-02-11,P039,C422,Roraima,Loja Física,6,602.73
V335,2024-04-22,P021,C339,Ceará,Loja Física,8,3052.85
V336,2023-10-28,P028,C086,Rio de Janeiro,Loja Física,6,2290.94
V337,2023-08-30,P047,C446,Paraíba,Loja Física,5,3233.4
V338,2023-10-23,P051,C486,Amapá,Online,7,1880.22
V339,2023-10-13,P052,C384,Minas Gerais,Online,1,799.62
V340,2023-11-25,P039,C348,Rio Grande do Sul,Loja Física,1,718.53
V341,2024-09-28,P016,C399,Espírito Santo,Loja Física,6,1975.99
V342,2024-06-16,P037,C017,Mato Grosso do Sul,Online,8,4749.24
V343,2023-01-09,P024,C228,Paraná,Online,10,774.71
V344,2024-05-04,P024,C204,Maranhão,Loja Física,4,4806.55
V345,2024-04-18,P002,C377,Roraima,Loja Física,9,1996.24
V346,2024-04-12,P036,C061,Bahia,Loja Física,8,1151.4
V347,2023-02-12,P040,C147,Rio de Janeiro,Loja Física,4,700.92
V348,2023-01-14,P055,C038,Rio Grande do Norte,Online,8,4986.59
V349,2023-10-06,P052,C350,Maranhão,Loja Física,2,2794.99
V350,2024-06-15,P019,C457,Ceará,Online,3,3989.11
V351,2023-08-18,P033,C115,Pará,Online,3,1260.01
V352,2024-08-10,P032,C014,Paraíba,Loja Física,8,4037.94
V353,2024-09-27,P036,C067,Mato Grosso do Sul,Online,2,1615.52
V354,2023-02-20,P046,C369,Sergipe,Loja Física,7,4134.36
V355,2023-06-09,P005,C065,Maranhão,Online,8,2382.58
V356,2023-04-25,P034,C177,Rondônia,Online,3,2219.83
V357,2023-04-24,P059,C445,Amapá,Online,9,849.78
V358,2024-01-18,P011,C083,Maranhão,Online,6,4742.67
V359,2023-11-11,P034,C459,Ceará,Online,5,1061.88
V360,2023-03-16,P036,C141,Rondônia,Loja Física,10,2714.04
V361,2023-10-21,P033,C329,Roraima,Online,3,3327.79
V362,2023-04-19,P047,C462,Mato Grosso do Sul,Loja Física,10,301.85
V363,2023-07-02,P056,C015,Amazonas,Online,10,1396.81
V364,2023-11-22,P014,C393,Mato Grosso,Loja Física,10,3231.06
V365,2023-06-10,P032,C456,Espírito Santo,Loja Física,5,2466.43
V366,2024-10-07,P052,C414,Minas Gerais,Loja Física,5,2322.37
V367,2024-11-14,P045,C031,Roraima,Loja Física,7,2472.83
V368,2023-01-25,P014,C175,Mato Grosso do Sul,Online,6,4321.28
V369,2023-11-07,P021,C376,Paraíba,Loja Física,3,3827.26
V370,2024-08-16,P033,C288,Pará,Loja Física,4,2385.72
V371,2024-09-27,P018,C231,Alagoas,Online,2,347.97
V372,2024-09-22,P025,C443,Mato Grosso do Sul,Loja Física,4,4817.16
V373,2024-01-29,P058,C082,Santa Catarina,Loja Física,10,3633.53
V374,2023-02-12,P013,C391,Roraima,Loja Física,9,2387.39
V375,2023-01-06,P057,C158,Sergipe,Online,2,4731.64
V376,2024-04-17,P033,C235,Alagoas,Online,10,1829.19
V377,2024-01-21,P004,C145,Sergipe,Loja Física,5,2729.78
V378,2024-09-07,P055,C056,Piauí,Online,5,3664.79
V379,2022-12-09,P049,C207,Paraíba,Online,7,350.67
V380,2023-02-08,P036,C100,Paraíba,Loja Física,2,1993.11
V381,2024-11-16,P029,C392,Goiás,Loja Física,10,3433.95
V382,2024-07-05,P008,C066,Pará,Loja Física,6,3995.0
V383,2024-09-17,P022,C286,Paraíba,Online,4,3052.07
V384,2023-05-30,P026,C257,Amapá,Online,1,771.48
V385,2023-04-06,P022,C412,Sergipe,Loja Física,3,3070.68
V386,2023-10-09,P033,C072,Maranhão,Loja Física,3,2025.48
V387,2023-12-10,P040,C379,Santa Catarina,Loja Física,10,1748.23
V388,2023-12-06,P054,C261,Goiás,Loja Física,10,1568.97
V389,2023-05-13,P053,C009,Paraíba,Loja Física,2,4901.5
V390,2024-09-29,P038,C158,Rio Grande do Sul,Online,10,2425.49
V391,2023-10-05,P042,C401,Paraná,Online,1,2959.26
V392,2024-10-28,P011,C269,Espírito Santo,Loja Física,3,4126.14
V393,2023-01-12,P016,C017,Mato Grosso,Online,4,192.79
V394,2023-04-04,P021,C215,Rondônia,Loja Física,4,2110.85
V395,2023-09-18,P050,C314,Sergipe,Online,3,2641.55
V396,2022-11-29,P036,C167,Minas Gerais,Loja Física,9,1946.44
V397,2023-09-27,P012,C236,Goiás,Loja Física,9,1836.01
V398,2023-06-21,P050,C445,São Paulo,Loja Física,10,2472.48
V399,2024-11-16,P016,C143,Goiás,Loja Física,4,4713.28
V400,2024-07-29,P020,C395,Ceará,Online,8,1653.5
V401,2024-07-29,P023,C287,Rio Grande do Sul,Loja Física,5,697.18
V402,2023-11-16,P044,C279,Pernambuco,Loja Física,6,4777.58
V403,2023-07-07,P052,C075,Ceará,Online,5,4781.04
V404,2023-10-22,P006,C178,Rio Grande do Norte,Loja Física,8,1148.54
V405,2024-05-22,P053,C276,Bahia,Loja Física,3,635.21
V406,2024-06-17,P048,C301,Alagoas,Online,1,3382.19
V407,2024-07-28,P034,C116,Espírito Santo,Online,1,590.97
